Peaje_key,Admon,Nombre,Nombre_proyecto,Responsable,Telefono,Telefono_gerente,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,eje_adicional,eje_adicional_2
GUALANDAY-Concesionaria San Rafael S.A.,Concesionaria San Rafael S.A.,GUALANDAY,GIRARDOT - IBAGUÉ - CAJAMARCA,Concesión ANI,3138863287,3212087489,9800,11600,27600,37100,40900,0,0,0,0,9000,9500
YUCAO-Invias,Invias,YUCAO,IP - MALLA VIAL DEL META,Concesión ANI,3102466052,018000918624 Operadores Claro - Movistar #765,4400,4800,4800,4800,19700,25000,28100,0,0,0,0
COROZAL-AUTOPISTAS DEL CAFE,AUTOPISTAS DEL CAFE,COROZAL,ARMENIA-PEREIRA-MANIZALES,Concesión ANI,(6) 3282720,3138176567 #850,10400,12600,12600,12600,30700,38400,44600,0,0,0,0
ALVARADO-Concesionaria Alternativas Viales  S.A.S,Concesionaria Alternativas Viales  S.A.S,ALVARADO,IP - CAMBAO-MANIZALES,Concesión ANI,3506666383 - 3506666384 - 3506666385,350 666-6375 - 350666-6386,10700,11400,11900,12400,26500,36200,39200,0,0,0,0
GUATAQUI-Concesión Alto Magdalena,Concesión Alto Magdalena,GUATAQUI,GIRARDOT - HONDA - PUERTO SALGAR,Concesión ANI,3219738507,3219738507,9700,14000,19200,25700,36400,59000,67400,0,0,0,0
CHUSACA-Concesión  Vía 40 Express,Concesión  Vía 40 Express,CHUSACA,IP - TERCER CARRIL,Concesión ANI,3104224687 - 3117872339 - 3117903187,3104224687 - 3117872339 - 3117903187,10300,11600,24800,40300,46300,0,0,0,0,9400,9700
SAN PEDRO-CONCESION DEVISAB,CONCESION DEVISAB,SAN PEDRO,VILLAVICENCIO-YOPAL,Departamento,#815 Tigo  018000953550,#815 Tigo  018000953550,10500,11700,13500,18200,39200,51000,58900,0,0,0,0
PATIOS-INVIAS – VIPSA,INVIAS – VIPSA,PATIOS,PERIMETRAL DE ORIENTE DE CUNDINAMARCA,Concesión ANI,3118179035,"3102399451, 3162340275, #762 y 018000181762",9600,15100,23400,34300,46900,47300,0,0,0,8400,8700
SAN PEDRO-Concesiónaria Vial del Oriente - COVIORIENTE S.A.S,Concesiónaria Vial del Oriente - COVIORIENTE S.A.S,SAN PEDRO,VILLAVICENCIO-YOPAL,Concesión ANI,3168341260,3178942293  - 018000180818,8400,9100,19400,24700,27600,0,0,0,0,8400,8700
CIRCASIA-Concesión Autopistas del café,Concesión Autopistas del café,CIRCASIA,ARMENIA-PEREIRA-MANIZALES,Concesión ANI,(6) 3282720 3138176567 #850,602 22 33,13800,17600,17600,17600,42900,52600,58600,0,0,0,0
RIO BOGOTA-CONCESION CCFC S.A,CONCESION CCFC S.A,RIO BOGOTA,FONTIBÓN - FACATATIVÁ - LOS ALPES,Concesión ANI,3792200 – 8930977,"300 2134184 - 310 3042774 - #235 Tigo, Movistar y Claro",8000,12000,10400,13900,23600,31900,34500,0,0,0,0
CORZO-CONCESION CCFC S.A,CONCESION CCFC S.A,CORZO,FONTIBÓN - FACATATIVÁ - LOS ALPES,Concesión ANI,"3792200 – 8930977 300 2134184 - 310 3042774 - #235 Tigo, Movistar y Claro",(571) 893 09 77,8000,12000,10400,13900,23600,31900,34500,0,0,0,0
SIBERIA-CONCESION SABANA DE OCCIDENTE,CONCESION SABANA DE OCCIDENTE,SIBERIA,BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA,Concesión ANI,5939260 – 3185577768 – 3102613190 - 3002149460,5939260,10000,14300,12000,16000,28100,37700,41400,5200,7200,0,0
CERRITOS II-Concesionaria de Occidente,Concesionaria de Occidente,CERRITOS II,PEREIRA - LA VICTORIA,Concesión ANI,3128509233 - 3113042754 - 3132158,CARRO TALLER 3104044111 GRUAS 313 8280776 / 77,12000,13800,34000,44600,51000,0,0,0,0,15000,15200
LA CABAÑA-PERIMETRAL ORIENTAL DE BOGOTA S.A.S,PERIMETRAL ORIENTAL DE BOGOTA S.A.S,LA CABAÑA,PERIMETRAL DE ORIENTE DE CUNDINAMARCA,Concesión ANI,3112178121,"3102399451, 3162340275, #762 y 018000181762",9600,15100,23400,34300,46900,47300,0,0,0,8400,8700
ANDES-CONCESION ACCENORTE,CONCESION ACCENORTE,ANDES,IP - ACCESOS NORTE,Concesión ANI,6760652 - 6762948  3125194023 – 3125196546,676 06 52,8700,15000,9600,21800,33100,42700,47300,0,0,0,0
FUSCA-CONCESION ACCENORTE,CONCESION ACCENORTE,FUSCA,IP - ACCESOS NORTE,Concesión ANI,6760652  Opc 1 - 3125194023 – 3125196546,676 06 52,8700,15000,9600,21800,33100,42700,47300,0,0,0,0
UNISABANA-CONCESION  ACCENORTE,CONCESION  ACCENORTE,UNISABANA,IP - ACCESOS NORTE,Concesión ANI,6760652  Opc 1 - 3125194023 – 3125196546,676 06 52,0,0,0,0,33100,42700,47300,0,0,0,0
TARAPACA I-CONCESION AUTOPISTAS DEL CAFE,CONCESION AUTOPISTAS DEL CAFE,TARAPACA I,ARMENIA-PEREIRA-MANIZALES,Concesión ANI,(6) 3282720,3138176567 #850,11500,15200,15200,15200,38100,50400,56300,0,0,0,0
TARAPACA II-Concesión Autopistas del Café,Concesión Autopistas del Café,TARAPACA II,ARMENIA-PEREIRA-MANIZALES,Concesión ANI,(6) 3282720,3138176567 #850,11500,15200,15200,15200,38100,50400,56300,0,0,0,0
ACAPULCO-CONCESION PACIFICO TRES S.A.S  (ODINSA),CONCESION PACIFICO TRES S.A.S  (ODINSA),ACAPULCO,AUTOPISTA CONEXIÓN PACIFICO 3,Concesión ANI,3219738470,018000423780 – 3219738470,11400,14100,14100,14100,33800,42400,48900,0,0,0,0
PAVAS-CONCESION AUTOPISTAS DEL CAFE,CONCESION AUTOPISTAS DEL CAFE,PAVAS,ARMENIA-PEREIRA-MANIZALES,Concesión ANI,(6) 3282720,3138176567 #850,10400,12600,12600,12600,30700,38400,44600,0,0,0,0
EL ROBLE-CONCESION BRICEÑO – TUNJA – SOGAMOSO,CONCESION BRICEÑO – TUNJA – SOGAMOSO,EL ROBLE,BRICEÑO - TUNJA - SOGAMOSO,Concesión ANI,3174341030 // 3203409278,3174422284 // 3174341120 //  3174341030 // 3164086968,8000,8900,23000,28500,33500,0,0,0,0,6800,8200
